borehole_id,mine_id,zone_id,latitude,longitude,depth_meters,mn_grade_pct,fe_grade_pct,sio2_pct,phosphorus_pct,rock_formation,subsurface_layer,timestamp
BH-101,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81899,80.18612,128.3,43.67,5.53,8.74,0.125,Sausar Group Gondite,Primary Ore Body,2026-03-08T11:00:00Z
BH-102,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81719,80.18814,68.4,44.3,7.2,12.53,0.098,Sausar Group Gondite,Primary Ore Body,2026-03-10T16:00:00Z
BH-103,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81766,80.18845,67.5,37.78,4.62,12.78,0.083,Mansar Schist,Primary Ore Body,2026-03-06T12:00:00Z
BH-104,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81692,80.18639,70.5,42.05,5.68,13.26,0.11,Sausar Group Gondite,Primary Ore Body,2026-03-12T14:00:00Z
BH-105,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81665,80.18736,96.4,43.79,4.98,10.55,0.127,Mansar Schist,Primary Ore Body,2026-03-09T09:00:00Z
BH-106,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81879,80.18845,135.3,38.97,6.91,8.58,0.147,Mansar Schist,Primary Ore Body,2026-03-12T15:00:00Z
BH-107,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81868,80.18639,92.2,40.54,7.78,8.47,0.208,Sausar Group Gondite,Primary Ore Body,2026-03-01T14:00:00Z
BH-108,MINE_BALAGHAT_01,ZONE_NORTH_A,21.8167,80.18796,80.0,38.14,4.8,10.67,0.123,Mansar Schist,Primary Ore Body,2026-03-09T16:00:00Z
BH-109,MINE_BALAGHAT_01,ZONE_NORTH_A,21.8176,80.18881,140.3,37.77,5.55,14.16,0.166,Mansar Schist,Primary Ore Body,2026-03-03T13:00:00Z
BH-110,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81871,80.18842,129.8,41.87,7.96,9.49,0.151,Sausar Group Gondite,Primary Ore Body,2026-03-13T11:00:00Z
BH-111,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81774,80.18652,69.6,42.66,5.03,14.26,0.186,Mansar Schist,Primary Ore Body,2026-03-02T13:00:00Z
BH-112,MINE_BALAGHAT_01,ZONE_NORTH_A,21.81711,80.18686,110.0,43.2,7.47,11.34,0.182,Sausar Group Gondite,Primary Ore Body,2026-03-11T11:00:00Z
BH-113,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81287,80.18492,106.4,42.52,5.4,11.79,0.203,Mansar Schist,Primary Ore Body,2026-03-12T09:00:00Z
BH-114,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81165,80.1826,101.9,38.5,4.69,15.07,0.094,Mansar Schist,Primary Ore Body,2026-03-01T13:00:00Z
BH-115,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81341,80.18381,30.8,47.25,7.58,10.13,0.099,Sausar Group Gondite,Weathered Horizon,2026-03-10T15:00:00Z
BH-116,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81194,80.18376,92.6,38.59,8.12,14.4,0.161,Sausar Group Gondite,Primary Ore Body,2026-03-08T13:00:00Z
BH-117,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81183,80.18226,77.2,44.12,8.3,15.15,0.199,Mansar Schist,Primary Ore Body,2026-03-07T08:00:00Z
BH-118,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81315,80.18491,121.1,37.02,6.32,14.03,0.16,Sausar Group Gondite,Primary Ore Body,2026-03-03T14:00:00Z
BH-119,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81363,80.18211,111.3,47.2,4.53,11.43,0.215,Sausar Group Gondite,Primary Ore Body,2026-03-04T13:00:00Z
BH-120,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81243,80.18265,119.9,40.45,5.31,11.56,0.152,Mansar Schist,Primary Ore Body,2026-03-11T11:00:00Z
BH-121,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81226,80.18251,29.7,39.7,6.98,14.03,0.096,Mansar Schist,Weathered Horizon,2026-03-06T15:00:00Z
BH-122,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81403,80.18323,52.0,36.67,7.56,10.24,0.195,Sausar Group Gondite,Primary Ore Body,2026-03-04T15:00:00Z
BH-123,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81384,80.18329,48.1,40.25,5.41,14.44,0.208,Mansar Schist,Primary Ore Body,2026-03-01T15:00:00Z
BH-124,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.81397,80.18241,26.7,36.75,7.61,10.62,0.147,Mansar Schist,Weathered Horizon,2026-03-06T08:00:00Z
BH-125,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80667,80.18057,19.3,34.04,10.49,16.62,0.219,Mansar Schist,Weathered Horizon,2026-03-01T11:00:00Z
BH-126,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80566,80.18153,56.8,31.62,7.94,20.3,0.126,Mansar Schist,Weathered Horizon,2026-03-08T14:00:00Z
BH-127,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80566,80.18098,137.5,34.45,9.9,21.08,0.217,Mansar Schist,Secondary Enriched,2026-03-01T09:00:00Z
BH-128,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80758,80.18103,127.3,35.26,10.81,14.63,0.139,Mansar Schist,Weathered Horizon,2026-03-02T12:00:00Z
BH-129,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.8081,80.17997,67.7,35.42,8.56,20.07,0.092,Mansar Schist,Weathered Horizon,2026-03-12T08:00:00Z
BH-130,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80656,80.18077,52.1,28.9,7.25,15.12,0.181,Mansar Schist,Secondary Enriched,2026-03-09T14:00:00Z
BH-131,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80798,80.18006,45.6,28.05,10.91,15.81,0.128,Mansar Schist,Weathered Horizon,2026-03-01T14:00:00Z
BH-132,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80681,80.18057,108.5,30.03,7.88,19.43,0.182,Chorbaoli Quartzite,Weathered Horizon,2026-03-01T14:00:00Z
BH-133,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80812,80.17953,87.0,30.24,10.22,15.39,0.161,Mansar Schist,Weathered Horizon,2026-03-05T14:00:00Z
BH-134,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.80576,80.17979,142.1,34.05,7.96,17.55,0.158,Chorbaoli Quartzite,Secondary Enriched,2026-03-06T14:00:00Z
BH-135,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.8057,80.18006,59.1,34.65,9.27,18.5,0.2,Mansar Schist,Weathered Horizon,2026-03-10T15:00:00Z
