mine_id,date,rainfall_mm,soil_moisture_pct,ambient_temp_c,humidity_pct,wind_speed_kmh,flood_risk_index,timestamp
MINE_BALAGHAT_01,2026-02-12,0.0,24.4,33.9,58.5,19.1,LOW,2026-02-12T12:00:00Z
MINE_BALAGHAT_01,2026-02-13,0.0,30.7,30.9,53.0,19.5,LOW,2026-02-13T12:00:00Z
MINE_BALAGHAT_01,2026-02-14,0.0,24.2,29.0,48.2,14.2,LOW,2026-02-14T12:00:00Z
MINE_BALAGHAT_01,2026-02-15,0.0,29.6,28.3,48.4,16.5,LOW,2026-02-15T12:00:00Z
MINE_BALAGHAT_01,2026-02-16,8.1,24.7,31.0,54.5,23.2,LOW,2026-02-16T12:00:00Z
MINE_BALAGHAT_01,2026-02-17,7.4,30.5,36.0,51.3,13.6,LOW,2026-02-17T12:00:00Z
MINE_BALAGHAT_01,2026-02-18,0.0,23.8,37.5,55.7,16.3,LOW,2026-02-18T12:00:00Z
MINE_BALAGHAT_01,2026-02-19,9.3,27.8,36.2,50.6,13.7,LOW,2026-02-19T12:00:00Z
MINE_BALAGHAT_01,2026-02-20,0.0,24.0,34.6,35.5,17.9,LOW,2026-02-20T12:00:00Z
MINE_BALAGHAT_01,2026-02-21,0.0,24.3,34.2,48.7,30.8,LOW,2026-02-21T12:00:00Z
MINE_BALAGHAT_01,2026-02-22,0.0,26.1,34.9,48.3,20.2,LOW,2026-02-22T12:00:00Z
MINE_BALAGHAT_01,2026-02-23,5.1,29.9,36.7,44.7,26.8,LOW,2026-02-23T12:00:00Z
MINE_BALAGHAT_01,2026-02-24,6.7,28.0,32.7,45.0,12.8,LOW,2026-02-24T12:00:00Z
MINE_BALAGHAT_01,2026-02-25,0.0,26.8,32.3,36.1,28.4,LOW,2026-02-25T12:00:00Z
MINE_BALAGHAT_01,2026-02-26,11.1,19.5,28.4,35.3,27.9,LOW,2026-02-26T12:00:00Z
MINE_BALAGHAT_01,2026-02-27,0.0,30.4,34.8,46.0,23.7,LOW,2026-02-27T12:00:00Z
MINE_BALAGHAT_01,2026-02-28,0.0,21.8,30.3,46.2,25.2,LOW,2026-02-28T12:00:00Z
MINE_BALAGHAT_01,2026-03-01,6.8,27.5,36.9,48.1,25.9,LOW,2026-03-01T12:00:00Z
MINE_BALAGHAT_01,2026-03-02,0.0,31.9,38.0,39.0,14.7,LOW,2026-03-02T12:00:00Z
MINE_BALAGHAT_01,2026-03-03,3.1,19.4,29.6,50.0,13.3,LOW,2026-03-03T12:00:00Z
MINE_BALAGHAT_01,2026-03-04,9.1,22.5,33.8,51.5,27.5,LOW,2026-03-04T12:00:00Z
MINE_BALAGHAT_01,2026-03-05,4.7,22.7,34.1,44.3,18.8,LOW,2026-03-05T12:00:00Z
MINE_BALAGHAT_01,2026-03-06,0.0,18.7,34.0,45.8,26.2,LOW,2026-03-06T12:00:00Z
MINE_BALAGHAT_01,2026-03-07,7.6,20.2,37.6,37.4,27.9,LOW,2026-03-07T12:00:00Z
MINE_BALAGHAT_01,2026-03-08,8.0,31.8,29.7,55.3,17.4,LOW,2026-03-08T12:00:00Z
MINE_BALAGHAT_01,2026-03-09,8.0,21.4,33.5,49.0,13.4,LOW,2026-03-09T12:00:00Z
MINE_BALAGHAT_01,2026-03-10,68.9,52.4,29.3,77.5,21.8,SEVERE,2026-03-10T12:00:00Z
MINE_BALAGHAT_01,2026-03-11,76.2,59.1,37.6,81.5,23.4,SEVERE,2026-03-11T12:00:00Z
MINE_BALAGHAT_01,2026-03-12,87.4,51.8,31.7,77.2,17.1,SEVERE,2026-03-12T12:00:00Z
MINE_BALAGHAT_01,2026-03-13,87.0,59.4,38.0,90.3,15.8,SEVERE,2026-03-13T12:00:00Z
MINE_GUMGAON_02,2025-09-15,57.2,59.7,33.9,75.6,29.8,HIGH,2025-09-15T18:00:00Z
MINE_TIRODI_03,2025-09-15,2.8,54.1,28.0,93.8,23.0,LOW,2025-09-15T18:00:00Z
MINE_DONGRI_04,2025-09-15,4.8,62.6,29.1,73.1,23.5,LOW,2025-09-15T18:00:00Z
MINE_KANDRI_05,2025-09-15,24.2,41.9,32.8,88.7,31.7,MODERATE,2025-09-15T18:00:00Z
MINE_MANSAR_06,2025-09-15,1.8,61.6,31.2,93.4,21.6,LOW,2025-09-15T18:00:00Z
MINE_CHIKLA_07,2025-09-15,25.3,57.8,29.5,87.1,21.4,MODERATE,2025-09-15T18:00:00Z
MINE_UKWA_08,2025-09-15,58.0,58.9,28.9,80.4,21.7,HIGH,2025-09-15T18:00:00Z
MINE_SITAPATORE_09,2025-09-15,1.8,62.4,33.3,87.8,23.0,LOW,2025-09-15T18:00:00Z
MINE_BELDONGRI_10,2025-09-15,3.0,43.7,30.1,74.8,19.5,LOW,2025-09-15T18:00:00Z
MINE_GUMGAON_02,2025-09-16,1.7,63.3,31.6,73.6,28.2,LOW,2025-09-16T18:00:00Z
MINE_TIRODI_03,2025-09-16,0.8,44.6,31.8,92.6,20.3,LOW,2025-09-16T18:00:00Z
MINE_DONGRI_04,2025-09-16,1.3,67.6,33.4,81.9,19.4,LOW,2025-09-16T18:00:00Z
MINE_KANDRI_05,2025-09-16,56.3,62.7,32.4,76.9,18.6,HIGH,2025-09-16T18:00:00Z
MINE_MANSAR_06,2025-09-16,2.3,61.2,27.7,74.1,23.3,LOW,2025-09-16T18:00:00Z
MINE_CHIKLA_07,2025-09-16,5.7,70.9,29.5,93.4,27.9,LOW,2025-09-16T18:00:00Z
MINE_UKWA_08,2025-09-16,3.2,59.3,27.3,89.4,22.1,LOW,2025-09-16T18:00:00Z
MINE_SITAPATORE_09,2025-09-16,3.5,45.4,33.6,83.1,28.1,LOW,2025-09-16T18:00:00Z
MINE_BELDONGRI_10,2025-09-16,54.7,68.8,30.4,89.9,20.6,HIGH,2025-09-16T18:00:00Z
MINE_GUMGAON_02,2025-09-17,1.9,48.5,33.4,75.7,26.9,LOW,2025-09-17T18:00:00Z
MINE_TIRODI_03,2025-09-17,1.2,65.2,32.0,83.0,21.0,LOW,2025-09-17T18:00:00Z
MINE_DONGRI_04,2025-09-17,53.1,46.0,32.8,78.6,18.6,HIGH,2025-09-17T18:00:00Z
MINE_KANDRI_05,2025-09-17,18.1,54.1,28.2,76.4,30.5,LOW,2025-09-17T18:00:00Z
MINE_MANSAR_06,2025-09-17,5.7,62.3,29.7,91.9,27.3,LOW,2025-09-17T18:00:00Z
MINE_CHIKLA_07,2025-09-17,55.1,66.6,28.5,82.4,23.1,HIGH,2025-09-17T18:00:00Z
MINE_UKWA_08,2025-09-17,29.7,71.0,29.5,70.1,25.9,MODERATE,2025-09-17T18:00:00Z
MINE_SITAPATORE_09,2025-09-17,44.1,47.1,31.7,84.2,23.1,MODERATE,2025-09-17T18:00:00Z
MINE_BELDONGRI_10,2025-09-17,1.3,47.5,30.1,90.7,21.2,LOW,2025-09-17T18:00:00Z
MINE_GUMGAON_02,2025-09-18,3.7,71.6,33.2,76.9,19.2,LOW,2025-09-18T18:00:00Z
MINE_TIRODI_03,2025-09-18,34.0,68.6,32.4,87.1,24.4,MODERATE,2025-09-18T18:00:00Z
MINE_DONGRI_04,2025-09-18,2.2,60.4,33.3,70.7,20.1,LOW,2025-09-18T18:00:00Z
MINE_KANDRI_05,2025-09-18,0.1,59.4,30.3,74.3,25.9,LOW,2025-09-18T18:00:00Z
MINE_MANSAR_06,2025-09-18,0.5,45.0,32.3,83.1,29.8,LOW,2025-09-18T18:00:00Z
