equipment_id,equipment_type,mine_id,zone_id,operational_hours,downtime_hours,downtime_reason,efficiency_pct,health_status,timestamp
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.5,1.6,Preventive Maintenance,85.8,OPTIMAL,2026-02-28T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.0,0.8,Preventive Maintenance,82.1,OPTIMAL,2026-02-28T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,23.0,0.0,None,87.5,OPTIMAL,2026-02-28T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.2,0.8,Preventive Maintenance,94.2,OPTIMAL,2026-02-28T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,22.6,0.0,None,89.0,OPTIMAL,2026-02-28T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,20.8,1.9,Preventive Maintenance,94.9,OPTIMAL,2026-02-28T18:00:00Z
CRU_TELSMITH_01,Stationary Jaw Crusher,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.8,1.0,Preventive Maintenance,87.6,OPTIMAL,2026-02-28T18:00:00Z
WTR_TRK_TATA_01,Dust Suppression Bowser,MINE_BALAGHAT_01,ZONE_CENTRAL_B,21.0,1.8,Preventive Maintenance,85.1,OPTIMAL,2026-02-28T18:00:00Z
EXC_CAT_349_01,Hydraulic Excavator 50T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.3,0.9,Preventive Maintenance,86.6,OPTIMAL,2026-03-01T18:00:00Z
EXC_KOM_PC450_02,Hydraulic Excavator 45T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.8,0.0,None,86.0,OPTIMAL,2026-03-01T18:00:00Z
DMP_VOLVO_FMX_11,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_CENTRAL_B,22.7,0.0,None,91.3,OPTIMAL,2026-03-01T18:00:00Z
DMP_VOLVO_FMX_12,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_NORTH_A,22.4,1.0,Preventive Maintenance,90.2,OPTIMAL,2026-03-01T18:00:00Z
DMP_VOLVO_FMX_13,Rigid Haul Dumper 35T,MINE_BALAGHAT_01,ZONE_SOUTH_C,21.2,1.9,Preventive Maintenance,92.6,OPTIMAL,2026-03-01T18:00:00Z
DRL_ATLAS_ROC_01,Top Hammer Drill Rig,MINE_BALAGHAT_01,ZONE_NORTH_A,22.7,0.0,None,87.2,OPTIMAL,2026-03-01T18:00:00Z
