satellite_source,mine_id,zone_id,ndvi,ndwi,land_surface_temp_c,soil_moisture_satellite_pct,cloud_coverage_pct,data_quality_flag,timestamp
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.139,-0.013,39.7,24.6,8.5,CLEAR,2026-02-12T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.134,-0.068,41.4,27.8,9.6,CLEAR,2026-02-12T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.393,0.056,41.9,19.8,8.6,CLEAR,2026-02-12T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.394,0.129,36.6,19.5,9.3,CLEAR,2026-02-12T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.416,0.063,36.9,17.4,2.7,CLEAR,2026-02-12T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_NORTH_A,0.156,0.146,33.7,23.1,3.5,HAZY,2026-02-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.135,-0.151,35.5,17.8,12.8,CLEAR,2026-02-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.351,0.068,43.7,18.9,18.0,CLEAR,2026-02-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_EAST_D,0.394,-0.153,38.2,22.0,13.0,CLEAR,2026-02-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_WEST_E,0.391,-0.038,43.1,27.2,16.1,CLEAR,2026-02-15T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.14,0.029,35.4,20.5,14.6,HAZY,2026-02-18T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.17,0.084,43.4,26.9,10.4,CLEAR,2026-02-18T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_SOUTH_C,0.376,-0.093,33.6,18.5,10.7,HAZY,2026-02-18T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_EAST_D,0.388,0.13,43.6,17.1,16.0,CLEAR,2026-02-18T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_WEST_E,0.368,-0.052,33.1,26.6,12.9,CLEAR,2026-02-18T10:30:00Z
Sentinel-2 MSI,MINE_BALAGHAT_01,ZONE_NORTH_A,0.146,-0.085,38.9,27.6,13.9,CLEAR,2026-02-21T10:30:00Z
Landsat-9 OLI-2,MINE_BALAGHAT_01,ZONE_CENTRAL_B,0.156,0.138,34.4,24.2,5.8,CLEAR,2026-02-21T10:30:00Z
